,Prompt
115,"Is Harrisburg, PA closer to Little Rock, AR or Worcester, MA?"
116,"Is Greenville, SC closer to Nashville, TN or Ogden, UT?"
117,"Is Asheville, NC closer to Henderson, NV or Des Moines, IA?"
118,"Is Augusta, GA closer to New Orleans, LA or Orlando, FL?"
119,"Is Scranton, PA closer to McAllen, TX or Durham, NC?"
120,"Is Davenport, IA closer to Winston-Salem, NC or Lancaster, CA?"
121,"Is Jacksonville, FL closer to South Bend, IN or Rochester, NY?"
122,"Is Arlington, TX closer to Tucson, AZ or Murrieta, CA?"
123,"Is Provo, UT closer to Allentown, PA or Buffalo, NY?"
124,"Is Tucson, AZ closer to Fort Worth, TX or Staten Island, NY?"
125,"Is Louisville, KY closer to Lakeland, FL or Concord, CA?"
126,"Is Stockton, CA closer to Mission Viejo, CA or Anaheim, CA?"
127,"Is Corpus Christi, TX closer to Lancaster, CA or Denton, TX?"
128,"Is Lancaster, CA closer to Providence, RI or Lansing, MI?"
129,"Is Tampa, FL closer to Rochester, NY or Des Moines, IA?"
130,"Is Allentown, PA closer to Chattanooga, TN or Durham, NC?"
131,"Is Santa Ana, CA closer to Cape Coral, FL or Cincinnati, OH?"
132,"Is Orlando, FL closer to New York, NY or Fort Worth, TX?"
133,"Is Madison, WI closer to Santa Rosa, CA or Akron, OH?"
134,"Is Wichita, KS closer to Philadelphia, PA or Sacramento, CA?"
135,"Is Chicago, IL closer to San Diego, CA or Dallas, TX?"
136,"Is Chattanooga, TN closer to Brooklyn, NY or St. Paul, MN?"
137,"Is Antioch, CA closer to Wichita, KS or Shreveport, LA?"
138,"Is Miami, FL closer to Fort Worth, TX or Rochester, NY?"
139,"Is Raleigh, NC closer to Kissimmee, FL or Jackson, MS?"
140,"Is Oxnard, CA closer to Round Lake Beach, IL or Winston-Salem, NC?"
141,"Is Santa Clarita, CA closer to Trenton, NJ or Charleston, SC?"
142,"Is Ann Arbor, MI closer to Virginia Beach, VA or Jackson, MS?"
143,"Is New York, NY closer to San Francisco, CA or Newark, NJ?"
144,"Is Plano, TX closer to Victorville, CA or Grand Rapids, MI?"
145,"Is Fort Wayne, IN closer to Youngstown, OH or Tulsa, OK?"
146,"Is Arlington, TX closer to Dallas, TX or Columbia, SC?"
147,"Is Henderson, NV closer to Boise, ID or Lancaster, CA?"
148,"Is Oklahoma City, OK closer to Indianapolis, IN or Des Moines, IA?"
149,"Is Santa Rosa, CA closer to Mission Viejo, CA or Youngstown, OH?"
150,"Is Wichita, KS closer to Bronx, NY or Kansas City, MO?"
151,"Is Arlington, TX closer to New York, NY or Winston-Salem, NC?"
152,"Is Scranton, PA closer to Oxnard, CA or Port St. Lucie, FL?"
153,"Is Manhattan, NY closer to Cincinnati, OH or Lexington, KY?"
154,"Is Round Lake Beach, IL closer to Bakersfield, CA or Fort Collins, CO?"
155,"Is Lancaster, PA closer to Philadelphia, PA or Aurora, CO?"
156,"Is Syracuse, NY closer to Indianapolis, IN or Worcester, MA?"
157,"Is Philadelphia, PA closer to Durham, NC or Shreveport, LA?"
158,"Is Anaheim, CA closer to Round Lake Beach, IL or Arlington, TX?"
159,"Is Arlington, TX closer to Detroit, MI or Tampa, FL?"
