,Prompt
44,"Is Middleville, NY closer to Ihlen, MN or Pleasantville, PA?"
45,"Is Verona, OH closer to South Charleston, WV or Canova, SD?"
46,"Is Lynn Haven, FL closer to West Hamburg, PA or Lockwood, MT?"
47,"Is Allen, MI closer to Belleair Shore, FL or Patoka, IN?"
48,"Is Moore Station, TX closer to Oakdale, LA or La Palma, CA?"
49,"Is Maypearl, TX closer to McCormick, SC or Buena Park, CA?"
50,"Is Soper, OK closer to Maunaloa, HI or Pensacola, FL?"
51,"Is Loris, SC closer to Marion, SD or Orangevale, CA?"
52,"Is Port Washington North, NY closer to Blockton, IA or Landisburg, PA?"
53,"Is White Bird, ID closer to Nisswa, MN or Reidsville, GA?"
54,"Is Springville, IA closer to Newfolden, MN or South Houston, TX?"
55,"Is Gordon, GA closer to Donnelly, MN or Selden, NY?"
56,"Is Dos Palos Y, CA closer to Grand Meadow, MN or Meadow Lake, NM?"
57,"Is McMurray, PA closer to Liberty, IN or Rock Rapids, IA?"
58,"Is Clayhatchee, AL closer to Commack, NY or Apollo Beach, FL?"
59,"Is Rothsay, MN closer to Marianna, PA or McClenney Tract, CA?"
60,"Is Camanche Village, CA closer to Boon, MI or Crowley Lake, CA?"
61,"Is California City, CA closer to Fayette, MS or Greensburg, PA?"
62,"Is Encinal, NM closer to Porter, MN or Northchase, NC?"
63,"Is Little River, SC closer to Logan, NM or Eldridge, IA?"
64,"Is Hoboken, GA closer to Colma, CA or Cottage Grove, TN?"
65,"Is Chillicothe, OH closer to Edgewood, WA or Tuckerman, AR?"
66,"Is Mountain, ND closer to Twin Falls, ID or Meadow Lakes, AK?"
67,"Is Rifton, NY closer to Graham, WA or Little Browning, MT?"
68,"Is Alma, MO closer to Dover Beaches North, NJ or Lanare, CA?"
69,"Is Crittenden, KY closer to Springhill, MT or Dawson, MD?"
70,"Is Attalla, AL closer to Carney, OK or Alder, WA?"
71,"Is Jamestown, CA closer to South Valley, NM or San Simeon, CA?"
72,"Is Rose Valley, PA closer to Potala Pastillo, PR or Amboy, IN?"
73,"Is LaFayette, GA closer to Alton, IL or Forest City, IA?"
74,"Is Festus, MO closer to Brazil, IN or Grover Beach, CA?"
75,"Is North Corbin, KY closer to Trenton, NE or Alcoa, TN?"
76,"Is Centerview, MO closer to Aynor, SC or Lookeba, OK?"
77,"Is Kensington, CA closer to Wintersville, OH or Parkin, AR?"
78,"Is Tioga, ND closer to Centerville, TX or Uehling, NE?"
79,"Is New Albany, MS closer to Avra Valley, AZ or Matthews, IN?"
80,"Is Bradley, AR closer to Vallejo, CA or Manter, KS?"
81,"Is Curwensville, PA closer to Elsmore, KS or Frostburg, MD?"
82,"Is Saco, ME closer to Montrose, WV or Greenwood, MO?"
83,"Is Clover, SC closer to Cooperstown, PA or Gonvick, MN?"
84,"Is Redkey, IN closer to Mount Pleasant, NC or Canadian, TX?"
85,"Is Harrisburg, AR closer to Long Prairie, MN or Roberta, GA?"
86,"Is West Jefferson, NC closer to Fancy Farm, KY or Blue Ridge, TX?"
87,"Is Wallace, KS closer to Wakarusa, KS or Asbury Park, NJ?"
88,"Is Happy Valley, NM closer to Cayce, KY or Norman, OK?"
89,"Is Second Mesa, AZ closer to Cowlington, OK or Cullman, AL?"
90,"Is Port Mansfield, TX closer to Brookings, OR or Alamo, NM?"
91,"Is Windsor, CO closer to Walterboro, SC or Silver City, NV?"
92,"Is Richwood, LA closer to Treasure Island, FL or New Castle, CO?"
93,"Is Harrison, OH closer to Montclair, CA or Laura, OH?"
94,"Is El Quiote, TX closer to Newton, AL or Emmett, ID?"
95,"Is Mays Chapel, MD closer to Throop, PA or Deer Grove, IL?"
96,"Is Hoisington, KS closer to Wyandotte, OK or La Feria, TX?"
97,"Is Owings Mills, MD closer to California Junction, IA or Chicago Heights, IL?"
98,"Is West Baden Springs, IN closer to Ozawkie, KS or Pacific, WA?"
99,"Is Florence, KY closer to Centreville, MI or Diamond Beach, NJ?"
100,"Is Weirton, WV closer to Alton, TX or Pelham, TN?"
101,"Is Gilman, IA closer to Skidmore, TX or Orange Cove, CA?"
102,"Is Herminie, PA closer to Malvern, OH or Jeddito, AZ?"
103,"Is Seabeck, WA closer to Parma, MO or Naguabo, PR?"
104,"Is Knoxville, IL closer to Park Crest, PA or Mankato, KS?"
105,"Is Folsom, NM closer to Ladonia, AL or Beckett, NJ?"
106,"Is Fair Play, SC closer to Lotsee, OK or Hebron, OH?"
107,"Is Sharonville, OH closer to Frisco, NC or Poland, OH?"
108,"Is Frenchtown-Rumbly, MD closer to Alamo Lake, AZ or Silver Lake, NJ?"
109,"Is Embden, ND closer to Murrayville, IL or Bootjack, CA?"
110,"Is Denair, CA closer to White Oak, OK or Gifford, FL?"
111,"Is Glens Falls, NY closer to Bull Run Mountain Estates, VA or Cisco, IL?"
112,"Is Utica, NY closer to Kyle, TX or Champaign, IL?"
113,"Is Spillville, IA closer to Lake Koshkonong, WI or North Las Vegas, NV?"
114,"Is Westside, IA closer to Norcatur, KS or Deltana, AK?"
115,"Is Blossom, TX closer to Moss Bluff, LA or Ames Lake, WA?"
116,"Is Phillipstown, IL closer to Rockville, IN or South Duxbury, MA?"
117,"Is Pajaro, CA closer to North Eagle Butte, SD or Amelia, LA?"
118,"Is Morning Sun, IA closer to Weiser, ID or Brownsboro, TX?"
119,"Is McSwain, CA closer to Bardwell, TX or Mount Hermon, NJ?"
120,"Is Bell Acres, PA closer to Grove City, OH or Poston, AZ?"
121,"Is Hopland, CA closer to Carbondale, IL or Kake, AK?"
122,"Is Arnolds Park, IA closer to Long Branch, PA or Oakdale, NY?"
123,"Is South Pasadena, CA closer to East Highland Park, VA or Argyle, MN?"
124,"Is Wellington, IL closer to West Point, IL or Ruston, WA?"
125,"Is Knapp, WI closer to Lovejoy, GA or Los Molinos, CA?"
126,"Is Thonotosassa, FL closer to Holley, OR or Sikeston, MO?"
127,"Is Pine Apple, AL closer to Huntsville, UT or Hagaman, NY?"
128,"Is Eagle Lake, MN closer to Loudonville, OH or Badger, IA?"
129,"Is Norman, NC closer to Leesburg, IN or Kellerton, IA?"
130,"Is Loyola, CA closer to Elysburg, PA or Long Grove, IL?"
131,"Is Latimer, IA closer to Lanesboro, PA or Pearl City, IL?"
132,"Is Greeneville, TN closer to Smyrna, TN or Anton, TX?"
133,"Is Glen Lyn, VA closer to Piedmont, MO or Powhatan Point, OH?"
134,"Is Kline, SC closer to Stark City, MO or Lakota, ND?"
135,"Is Hinesville, GA closer to Topton, PA or Roseville, CA?"
136,"Is Bay City, MI closer to Carlton, MT or Solomons, MD?"
137,"Is Porcupine, ND closer to Palermo, CA or High Hill, MO?"
138,"Is Drysdale, AZ closer to Golf Manor, OH or Cheyney University, PA?"
139,"Is Palmyra, NJ closer to Grand Marsh, WI or Eden, ID?"
140,"Is Abilene, KS closer to Pawnee Rock, KS or Longoria, TX?"
141,"Is Sea Bright, NJ closer to Rio Bravo, TX or University Heights, IA?"
142,"Is Sargent, NE closer to Breesport, NY or West Lake Hills, TX?"
143,"Is Woodsburgh, NY closer to Union City, GA or Forest Hill, TX?"
144,"Is Campo Rico, PR closer to McNab, AR or Loíza, PR?"
145,"Is Sackets Harbor, NY closer to Orient, IA or West Winfield, NY?"
146,"Is Cedar Bluffs, NE closer to Homedale, ID or Turner, MI?"
147,"Is West Liberty, WV closer to Bethlehem Village, CT or Rices Landing, PA?"
148,"Is Embarrass, WI closer to Pepper Pike, OH or Byron, WY?"
149,"Is Elk City, ID closer to Marrowstone, WA or Meadow Oaks, FL?"
150,"Is Pittston, PA closer to Scottdale, PA or Viborg, SD?"
151,"Is Crete, NE closer to Monticello, GA or Leedey, OK?"
152,"Is Tallassee, AL closer to Stone Creek, OH or Ponce de Leon, FL?"
153,"Is Riceboro, GA closer to Hobe Sound, FL or Princeton, NJ?"
154,"Is Hungerford, TX closer to Gillette, WY or Braselton, GA?"
155,"Is Meadowdale, WA closer to Río Cañas Abajo, PR or Hokah, MN?"
156,"Is Turner, MI closer to St. Donatus, IA or Palo Pinto, TX?"
157,"Is Apache, OK closer to Harcourt, IA or Amanda, OH?"
158,"Is The Meadows, FL closer to Marmarth, ND or Winchester, OH?"
159,"Is New Brighton, MN closer to Goodyears Bar, CA or Waverly, TN?"
