Prompt,Response
Is Dublin CA closer to San Jose CA or Gilbert AZ?,"San Jose, CA"
Is Albany OR closer to Coral Springs FL or Manchester NH?,"Manchester, NH"
Is Traverse City MI closer to Tulare CA or Coeur d'Alene ID?,"Coeur d'Alene, ID"
Is Rockville MD closer to Hacienda Heights CA or Denton TX?,"Hacienda Heights, CA"
Is Oak Park IL closer to State College PA or Virginia Beach VA?,"State College, PA"
Is Loveland CO closer to Columbus GA or Santa Maria CA?,"Santa Maria, CA"
Is Portsmouth VA closer to Kansas City KS or Lake Forest CA?,"Kansas City, KS"
Is Houston TX closer to Guaynabo PR or Fairfield CA?,"Guaynabo, PR"
Is Livermore CA closer to Tuscaloosa AL or Antioch CA?,"Tuscaloosa, AL"
Is Spring TX closer to Corvallis OR or Temple TX?,"Temple, TX"
Is Baytown TX closer to Hamilton OH or Livermore CA?,"Hamilton, OH"
Is Cleveland OH closer to Lauderhill FL or Westland MI?,"Lauderhill, FL"
Is Brentwood CA closer to North Port FL or Eagle Pass TX?,"North Port, FL"
Is Casper WY closer to Kalamazoo MI or Daytona Beach FL?,"Kalamazoo, MI"
Is Lorain OH closer to Aurora IL or San Francisco CA?,"San Francisco, CA"
Is Leander TX closer to Johns Creek GA or Hanover PA?,"Johns Creek, GA"
Is Dalton GA closer to Rio Rancho NM or Hanover PA?,"Rio Rancho, NM"
Is Hialeah FL closer to Alton IL or Edina MN?,"Edina, MN"
Is Kingston NY closer to Chandler AZ or League City TX?,"League City, TX"
Is Hesperia CA closer to Upland CA or San Tan Valley AZ?,"Upland, CA"
Is Harrisonburg VA closer to Bozeman MT or Wheeling WV?,"Wheeling, WV"
Is Kendale Lakes FL closer to Newark NJ or Bryan TX?,"Newark, NJ"
Is Danbury CT closer to Bethlehem PA or Springfield IL?,"Bethlehem, PA"
Is Lansing MI closer to Fremont CA or Chandler AZ?,"Fremont, CA"
Is Stockton CA closer to Brentwood NY or Stillwater OK?,"Brentwood, NY"
Is Palm Bay FL closer to Oxnard CA or Texarkana TX?,"Oxnard, CA"
Is Amarillo TX closer to Sandy Springs GA or Bozeman MT?,"Sandy Springs, GA"
Is Glendora CA closer to Overland Park KS or Alafaya FL?,"Overland Park, KS"
Is Bethesda MD closer to Columbia MD or Lakewood CA?,"Columbia, MD"
Is Lake Charles LA closer to Homestead FL or Duluth MN?,"Homestead, FL"
Is Lynwood CA closer to Dale City VA or Lacey WA?,"Dale City, VA"
Is Port Arthur TX closer to Clearwater FL or Columbus OH?,"Clearwater, FL"
Is Bethlehem PA closer to Hialeah FL or Rocklin CA?,"Hialeah, FL"
Is Lake Elsinore CA closer to Miami FL or Auburn WA?,"Miami, FL"
Is Brunswick GA closer to Beloit WI or Henderson NV?,"Beloit, WI"
Is Lynn MA closer to Casper WY or Taylorsville UT?,"Casper, WY"
Is Seaside CA closer to Glendora CA or Greeley CO?,"Glendora, CA"
Is Louisville KY closer to Kendale Lakes FL or Morristown TN?,"Kendale Lakes, FL"
Is Daly City CA closer to Huntersville NC or Garland TX?,"Huntersville, NC"
Is Portland ME closer to Wilmington DE or Davis CA?,"Wilmington, DE"
Is Binghamton NY closer to Rochester MN or Round Lake Beach IL?,"Round Lake Beach, IL"
Is Summerville SC closer to Myrtle Beach SC or Skokie IL?,"Myrtle Beach, SC"
Is Atascocita TX closer to Bellevue WA or Monessen PA?,"Bellevue, WA"
Is Orland Park IL closer to Salem OR or Cathedral City CA?,"Salem, OR"
Is Taunton MA closer to Largo FL or Winchester VA?,"Largo, FL"
Is Brunswick GA closer to Springdale AR or North Las Vegas NV?,"Springdale, AR"
Is The Woodlands TX closer to Meridian ID or Johns Creek GA?,"Meridian, ID"
Is Petaluma CA closer to Fall River MA or Vacaville CA?,"Vacaville, CA"
Is Chambersburg PA closer to Sahuarita AZ or Lewisville TX?,"Lewisville, TX"
Is San Francisco CA closer to Midwest City OK or Westminster CA?,"Westminster, CA"
Is Norwalk CT closer to Pittsburgh PA or Spring Valley NV?,"Pittsburgh, PA"
Is Surprise AZ closer to Rosemead CA or Joplin MO?,"Rosemead, CA"
Is Dalton GA closer to High Point NC or Rockville MD?,"High Point, NC"
Is Leominster MA closer to Baldwin Park CA or Lafayette CO?,"Lafayette, CO"
Is Oceanside CA closer to Westland MI or Las Vegas NV?,"Las Vegas, NV"
Is Bloomington MN closer to Davis CA or Rogers AR?,"Rogers, AR"
Is Mayagüez PR closer to Dale City VA or Chapel Hill NC?,"Chapel Hill, NC"
Is Kennewick WA closer to Fremont CA or Orland Park IL?,"Fremont, CA"
Is North Las Vegas NV closer to Aloha OR or Collierville TN?,"Aloha, OR"
Is Cranston RI closer to Inglewood CA or Austin TX?,"Inglewood, CA"
Is Monterey Park CA closer to Fullerton CA or Fort Smith AR?,"Fullerton, CA"
Is Wausau WI closer to Springfield MO or Highland CA?,"Springfield, MO"
Is La Mesa CA closer to Asheville NC or Lancaster CA?,"Lancaster, CA"
Is Plantation FL closer to Grand Prairie TX or Clovis CA?,"Grand Prairie, TX"
Is Apple Valley CA closer to Bloomington MN or New York NY?,"New York, NY"
Is Vancouver WA closer to Bloomington IN or Columbia SC?,"Bloomington, IN"
Is Margate FL closer to Waldorf MD or Pottstown PA?,"Waldorf, MD"
Is Cary NC closer to Staunton VA or Santa Rosa CA?,"Staunton, VA"
Is Lakewood WA closer to Panama City FL or Fall River MA?,"Fall River, MA"
Is Spring TX closer to Oshkosh WI or Palm Beach Gardens FL?,"Palm Beach Gardens, FL"
Is Grapevine TX closer to Germantown MD or Indianapolis IN?,"Indianapolis, IN"
Is Richardson TX closer to Athens GA or Dover DE?,"Athens, GA"
Is Arlington TX closer to Commerce City CO or Pittsburgh PA?,"Pittsburgh, PA"
Is Athens GA closer to Kennewick WA or Wichita Falls TX?,"Wichita Falls, TX"
Is Baldwin Park CA closer to St. Joseph MO or Yonkers NY?,"Yonkers, NY"
Is Staunton VA closer to Manhattan NY or Bradenton FL?,"Manhattan, NY"
Is Kingston NY closer to Orlando FL or South San Francisco CA?,"Orlando, FL"
Is Fairfield CA closer to Centreville VA or Warner Robins GA?,"Centreville, VA"
Is Vineland NJ closer to Lakeville MN or Bethesda MD?,"Bethesda, MD"
Is Pasadena TX closer to West Valley City UT or Vancouver WA?,"West Valley City, UT"
Is Rogers AR closer to Pharr TX or Columbus GA?,"Pharr, TX"
Is Des Plaines IL closer to Cupertino CA or Palm Desert CA?,"Cupertino, CA"
Is Dayton OH closer to Surprise AZ or Raleigh NC?,"Raleigh, NC"
Is Wylie TX closer to Longmont CO or Hacienda Heights CA?,"Longmont, CO"
Is Waco TX closer to Grand Forks ND or Gastonia NC?,"Grand Forks, ND"
Is Fond du Lac WI closer to Corona CA or Stamford CT?,"Stamford, CT"
Is Schenectady NY closer to Kansas City KS or Huntington Beach CA?,"Kansas City, KS"
Is Grand Forks ND closer to Fayetteville AR or Casas Adobes AZ?,"Fayetteville, AR"
Is Porterville CA closer to Missoula MT or Malden MA?,"Malden, MA"
Is Corpus Christi TX closer to Green Bay WI or Miami Beach FL?,"Green Bay, WI"
Is Denver CO closer to Gainesville GA or Southfield MI?,"Gainesville, GA"
Is Encinitas CA closer to Boston MA or Florence-Graham CA?,"Boston, MA"
Is Cambridge MA closer to Clifton NJ or Gainesville FL?,"Clifton, NJ"
Is Marietta GA closer to Ellicott City MD or Maple Grove MN?,"Ellicott City, MD"
Is Palo Alto CA closer to Bethesda MD or Gainesville GA?,"Bethesda, MD"
Is Myrtle Beach SC closer to Slidell LA or Rock Hill SC?,"Slidell, LA"
Is Santa Maria CA closer to St. Augustine FL or Rapid City SD?,"St. Augustine, FL"
Is Deltona FL closer to Costa Mesa CA or Brentwood CA?,"Costa Mesa, CA"
Is Coeur d'Alene ID closer to Fremont CA or Memphis TN?,"Fremont, CA"
Is Greenwood IN closer to Midwest City OK or Port Arthur TX?,"Midwest City, OK"
Is Bangor ME closer to Hanford CA or Palm Harbor FL?,"Hanford, CA"
Is Warren MI closer to Cedar Rapids IA or Charleston SC?,"Cedar Rapids, IA"
